date,region,price_index,CLS_ID,CLS_NM,CLS_FULLNM,WRTTIME_DESC,WRTTIME_IDTFR_ID,mom_pct,yoy_pct,base_rate,loan_rate,household_loan,price_yoy,loan_yoy,base_rate_lag3,loan_rate_lag3,construction_start_area_sqm,completion_proxy_sqm,completion_proxy_yoy,sale_listings,jeonse_listings,wolse_listings,total_listings,sale_share_pct,total_listings_yoy,sale_listings_yoy
2021-12-01,서울,184.594937750303,500007,서울,서울,2021년 12월,202112,-1.7434101905586583,13.47008100604632,1.0,1.7,910104.9,13.47008100604632,7.087618403486462,0.75,1.17,14224754.0,9439884.413087385,-2.591643149894174,,,,,,,
2022-01-01,서울,183.796132343114,500007,서울,서울,2022년 1월,202201,-0.4327341892059411,9.503505695693692,1.25,1.65,909297.2,9.503505695693692,6.161532513514234,0.75,1.29,7309396.0,9522081.44027664,-0.9061501022633478,,,,,,,
2022-02-01,서울,181.742557611927,500007,서울,서울,2022년 2월,202202,-1.1173111778834175,6.798796489786629,1.25,1.7,908074.0,6.798796489786629,5.2165424467225385,1.0,1.57,7294384.0,9619819.498047188,0.8950258306580139,,,,,,,
2022-03-01,서울,184.584143155102,500007,서울,서울,2022년 3월,202203,1.5635223695060985,7.908512438074333,1.25,1.74,905600.2,7.908512438074333,4.269366769834515,1.0,1.7,11636344.0,9730230.180566538,2.771654509746302,,,,,,,
2022-04-01,서울,185.487292643167,500007,서울,서울,2022년 4월,202204,0.4892887723871864,7.808775727870532,1.5,1.87,906130.3,7.808775727870532,2.8074189052902154,1.25,1.65,11115491.0,9849767.164566953,4.673582200106741,,,,,,,
2022-05-01,서울,183.266337145198,500007,서울,서울,2022년 5월,202205,-1.1973626151531414,4.3263295411456015,1.75,2.02,905727.1,4.3263295411456015,3.205072838472756,1.25,1.7,10958480.0,9974962.332170513,6.545359449205845,,,,,,,
2022-06-01,서울,183.341033590008,500007,서울,서울,2022년 6월,202206,0.0407584098496061,1.8983140535510312,1.75,2.41,905484.4,1.8983140535510312,2.7901040996192394,1.25,1.74,10139810.0,10102193.2015567,8.32580851935556,,,,,,,
2022-07-01,서울,176.325093229642,500007,서울,서울,2022년 7월,202207,-3.826715832777096,-4.13166337588925,2.25,2.93,904032.0,-4.13166337588925,1.5915825812563344,1.5,1.87,,10228046.442356382,9.950225806511504,,,,,,,
2022-08-01,서울,170.861491423657,500007,서울,서울,2022년 8월,202208,-3.098595727874831,-8.849495118730333,2.5,2.98,903809.1,-8.849495118730333,0.932561467958748,1.75,2.02,,10349636.230553575,11.356561311563063,,,,,,,
2022-09-01,서울,166.357711820306,500007,서울,서울,2022년 9월,202209,-2.6359243184783554,-12.624804868376891,2.5,3.38,902946.1,-12.624804868376891,0.1089068097854806,1.75,2.41,,10464347.373955697,12.487444815149917,,,,,,,
2022-10-01,서울,158.569559547498,500007,서울,서울,2022년 10월,202210,-4.681569725616641,-16.910413721295825,3.0,4.01,902667.0,-16.910413721295825,-0.5210081699846936,2.25,2.93,,10569863.071367716,13.295397061663916,,,,,,,
